date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
5-Dec,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
6-Dec,1,0,0,,,,
7-Dec,1,0,0,,,,
8-Dec,1,0,0,,,,
9-Dec,1,0,0,,,,"Note: these folders have unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc"
10-Dec,1,0,0,,,,
11-Dec,1,0,0,,,,
12-Dec,1,0,0,,,,
13-Dec,1,0,0,,,,
14-Dec,1,0,0,,,,
15-Dec,1,0,0,,,,
16-Dec,1,0,0,,,,
17-Dec,1,0,0,,P14A not sr,,
18-Dec,1,0,0,,,,
19-Dec,1,0,0,,,,
20-Dec,1,0,0,,,,
21-Dec,1,0,0,,,,
22-Dec,1,0,0,,,,
23-Dec,1,0,0,,,,
24-Dec,1,0,0,,,,
25-Dec,1,0,0,,,,
26-Dec,1,0,0,,,,
27-Dec,1,0,0,,,,
28-Dec,1,0,0,,,,
,,,,,,,
,,,,,,,
